role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Edward Thomas,http://data.semanticweb.org/person/edward-thomas,,1,,,,5642a3afc4c64adc46bfa1a17f2424ff40c8f1a1,1,University of Aberdeen,1
,,,,,Eero Hyvönen,http://data.semanticweb.org/person/eero-hyvoenen,,0,,,,7d73fa70931b84379629716dda05909efab4dabb,1,Helsinki University of Technology (TKK),1
,,,,,Elena Beisswanger,http://data.semanticweb.org/person/elena-beisswanger,,1,,,,1f7d93280937e25fce22bd0342d20b4ec1913055,1,Jena University,1
,,,,,Elena Simperl,http://data.semanticweb.org/person/elena-paslaru-bontas-simperl,,0,,,,09814d21068fb5bacc73c395dfd09780f462748a,1,Semantic Technology Institute Innsbruck;STI Innsbruck,1
,,,,,Elie Sanchez,http://data.semanticweb.org/person/elie-sanchez,,0,,,,a55215f90024edab2d70aecfa8bb583f8fe4f518,1,"LIF, Universite Aix-Marseille II",1
,,,,,Elisa Kendall,http://data.semanticweb.org/person/elisa-kendall,,0,,,,aec71169eb463ea4198b95d37570672610e70e89,1,"Sandpiper Software, Inc.",1
,,,,,Emmanuelle Bermès,http://data.semanticweb.org/person/emmanuelle-bermes,,1,,,,a10b66ed5fd25f4d3833089212055a79da447e3e,1,Bibliothèque nationale de France,1
,,,,,Enrico Daga,http://data.semanticweb.org/person/enrico-daga,,1,,,,424c24fe2a0860c82d37bb781361cf413178279b,1,"Semantic TechnoIogy Lab, CNR;CNR;Semantic TechnoIogy Lab. ISTC-CNR;CNR-ISTC",1
,,,,,Enrico Minack,http://data.semanticweb.org/person/enrico-minack,,1,,,,d2c1717ba69c0baacdc4437aaf82ed17a0115a41,1,"Research Center L3S;L3S Research Center;L3S Research Center & Hannover University;L3S Research Center, Hannover, Germany",1
,,,,,Enrico Motta,http://data.semanticweb.org/person/enrico-motta,,3,,,,28a0f82609671f47d811e6bee865afb23abfb8db,1,"Knowledge Media Institute, the Open University;Knowledge Media Institute, The Open University;The Open University;KMi, The Open University;KMi, Open University",1
,,,,,Erik van Mulligen,http://data.semanticweb.org/person/erik-van-mulligen,,1,,,,ecd6dfb2c1f305c8cda9b3062e08edd320192c3a,1,Erasmus Medical Center Rotterdam;Erasmus MC - University Medical Center Rotterdam,1
,,,,,Evgeni Golov,http://data.semanticweb.org/person/evgeni-golov,,1,,,,6132d4c7366282ab711a8c554b7e292f271ccc56,1,"Heinrich-Heine-University Düsseldorf, Institute of Computer Science;Heinrich-Heine-University Duesseldorf, Department of Information Science",1
,,,,,Evren Sirin,http://data.semanticweb.org/person/evren-sirin,,0,,,,199129950aa1a391f5e9ca3fce00a2e4c17f678c,1,"Clark & Parsia, LLC;Clark & Parsia LLC",1
,,,,,Eyal Oren,http://data.semanticweb.org/person/eyal-oren,,1,,,,38cd31e61b1df636aec6c443e825960703f4e6e9,1,VU Amsterdam;UVA;Vrije Universiteit Amsterdam;VU University Amsterdam;Vrije University Amsterdam,1
